maze_file,maze_size,maze_density,algorithm,found,cost,time_s,nodes_generated,nodes_expanded,max_frontier_size,max_explored_size,path_length
labirinto.txt,5x5,?,BFS,True,8.0,0.000128,34,18,3,17,9
labirinto.txt,5x5,?,DFS,True,8.0,6.8e-05,18,10,3,9,9
labirinto.txt,5x5,?,Greedy-Manhattan,True,8.0,7.3e-05,17,9,3,8,9
labirinto.txt,5x5,?,A*-Manhattan,True,8.0,0.000161,33,17,3,16,9
labirinto.txt,5x5,?,Greedy-Euclidean,True,8.0,7.2e-05,18,10,3,9,9
labirinto.txt,5x5,?,A*-Euclidean,True,8.0,9.8e-05,33,17,3,16,9
labirinto_10x10_d20.txt,10x10,20%,BFS,True,18.0,0.000435,239,82,11,81,19
labirinto_10x10_d20.txt,10x10,20%,DFS,True,30.0,0.000338,163,58,23,57,31
labirinto_10x10_d20.txt,10x10,20%,Greedy-Manhattan,True,18.0,0.000109,55,23,12,22,19
labirinto_10x10_d20.txt,10x10,20%,A*-Manhattan,True,18.0,0.000303,170,60,13,59,19
labirinto_10x10_d20.txt,10x10,20%,Greedy-Euclidean,True,18.0,0.000109,54,19,20,18,19
labirinto_10x10_d20.txt,10x10,20%,A*-Euclidean,True,18.0,0.000329,184,64,15,63,19
labirinto_10x10_d30.txt,10x10,30%,BFS,False,,0.000127,64,27,4,27,0
labirinto_10x10_d30.txt,10x10,30%,DFS,False,,0.000145,64,27,7,27,0
labirinto_10x10_d30.txt,10x10,30%,Greedy-Manhattan,False,,0.000148,64,33,11,27,0
labirinto_10x10_d30.txt,10x10,30%,A*-Manhattan,False,,0.000125,64,27,5,27,0
labirinto_10x10_d30.txt,10x10,30%,Greedy-Euclidean,False,,0.000125,64,33,10,27,0
labirinto_10x10_d30.txt,10x10,30%,A*-Euclidean,False,,0.000121,64,27,5,27,0
labirinto_15x15_d20.txt,15x15,20%,BFS,True,28.0,0.001034,582,187,15,186,29
labirinto_15x15_d20.txt,15x15,20%,DFS,True,56.0,0.0008,211,69,54,68,57
labirinto_15x15_d20.txt,15x15,20%,Greedy-Manhattan,True,32.0,0.000197,98,34,34,33,33
labirinto_15x15_d20.txt,15x15,20%,A*-Manhattan,True,28.0,0.000695,367,120,23,119,29
labirinto_15x15_d20.txt,15x15,20%,Greedy-Euclidean,True,30.0,0.000257,96,32,36,31,31
labirinto_15x15_d20.txt,15x15,20%,A*-Euclidean,True,28.0,0.001395,512,163,22,162,29
labirinto_15x15_d30.txt,15x15,30%,BFS,True,30.0,0.000738,393,153,11,152,31
labirinto_15x15_d30.txt,15x15,30%,DFS,True,40.0,0.000695,322,123,31,122,41
labirinto_15x15_d30.txt,15x15,30%,Greedy-Manhattan,True,34.0,0.000548,148,60,31,55,35
labirinto_15x15_d30.txt,15x15,30%,A*-Manhattan,True,30.0,0.000501,266,99,21,98,31
labirinto_15x15_d30.txt,15x15,30%,Greedy-Euclidean,True,40.0,0.000225,112,47,22,45,41
labirinto_15x15_d30.txt,15x15,30%,A*-Euclidean,True,30.0,0.000717,328,123,19,122,31
labirinto_20x20_d20.txt,20x20,20%,BFS,True,38.0,0.001906,1031,331,18,330,39
labirinto_20x20_d20.txt,20x20,20%,DFS,True,100.0,0.00104,335,114,78,113,101
labirinto_20x20_d20.txt,20x20,20%,Greedy-Manhattan,True,44.0,0.000236,116,46,28,45,45
labirinto_20x20_d20.txt,20x20,20%,A*-Manhattan,True,38.0,0.00163,1006,318,22,317,39
labirinto_20x20_d20.txt,20x20,20%,Greedy-Euclidean,True,38.0,0.000259,129,40,53,39,39
labirinto_20x20_d20.txt,20x20,20%,A*-Euclidean,True,38.0,0.001689,1011,321,23,320,39
labirinto_20x20_d30.txt,20x20,30%,BFS,True,38.0,0.00146,770,279,17,278,39
labirinto_20x20_d30.txt,20x20,30%,DFS,True,104.0,0.001319,487,182,62,181,105
labirinto_20x20_d30.txt,20x20,30%,Greedy-Manhattan,True,44.0,0.000314,157,56,48,52,45
labirinto_20x20_d30.txt,20x20,30%,A*-Manhattan,True,38.0,0.000671,387,129,25,128,39
labirinto_20x20_d30.txt,20x20,30%,Greedy-Euclidean,True,38.0,0.000236,123,41,45,40,39
labirinto_20x20_d30.txt,20x20,30%,A*-Euclidean,True,38.0,0.000935,516,182,21,181,39
labirinto_5x5_d20.txt,5x5,20%,BFS,True,8.0,8.4e-05,40,16,4,15,9
labirinto_5x5_d20.txt,5x5,20%,DFS,True,8.0,6.3e-05,22,9,6,8,9
labirinto_5x5_d20.txt,5x5,20%,Greedy-Manhattan,True,8.0,5.9e-05,23,9,9,8,9
labirinto_5x5_d20.txt,5x5,20%,A*-Manhattan,True,8.0,7.6e-05,39,15,4,14,9
labirinto_5x5_d20.txt,5x5,20%,Greedy-Euclidean,True,8.0,5.1e-05,24,9,10,8,9
labirinto_5x5_d20.txt,5x5,20%,A*-Euclidean,True,8.0,9e-05,39,15,5,14,9
labirinto_5x5_d30.txt,5x5,30%,BFS,False,,9e-06,0,1,1,1,0
labirinto_5x5_d30.txt,5x5,30%,DFS,False,,5e-06,0,1,1,1,0
labirinto_5x5_d30.txt,5x5,30%,Greedy-Manhattan,False,,1.3e-05,0,1,1,1,0
labirinto_5x5_d30.txt,5x5,30%,A*-Manhattan,False,,8e-06,0,1,1,1,0
labirinto_5x5_d30.txt,5x5,30%,Greedy-Euclidean,False,,1.4e-05,0,1,1,1,0
labirinto_5x5_d30.txt,5x5,30%,A*-Euclidean,False,,1.3e-05,0,1,1,1,0
